Timestamp (ms),Timestamp,Speaker,Transcript,Showing（1/0）,Showing referent,Pointing (1/0),Pointing referent,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Noun label 5,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Pronoun label 5,Pronoun label 6,Pronoun label 7,1_Pronoun_determiner (1/0),2_Pronoun_replacement (1/0),Pronoun Referent 1,Pronoun Referent 2,Pronoun Referent 3,Pronoun referent 4,Pronoun referent 5,Pronoun referent 6,Pronoun referent 7,Noun & Pronoun in the same utterance (1/0),Whether refer to the same object (1/0),Type of Play,exclude,reason_for_exclusion,general comments,Nouns_Spacy,Pronoun_Spacy,,
296548,00:04:56.548,m,can you do it?,0,,0,,0,,,,,,2,you,it,,,,,,0,2,child,brushteeth,,,,,,0,0,,,,,0,2,,
302498,00:05:02.498,m,why don't you put your doggies down,0,,0,,1,doggies,,,,,2,you,your,,,,,,1,1,child,dogtoy,,,,,,1,1,,,,,1,2,,
304572,00:05:04.572,m,were you spitting?,0,,0,,0,,,,,,1,you,,,,,,,0,1,child,,,,,,,0,0,,,,,0,1,,
311440,00:05:11.440,m,we do the top,0,,0,,0,,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,0,0,,,,,1,1,,
322320,00:05:22.320,m,open your mouth hon,0,,0,,2,mouth,hon,,,,1,your,,,,,,,1,0,childsmouth,,,,,,,1,1,,,,,2,1,,
323986,00:05:23.986,m,come on,0,,0,,0,,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,0,0,,
325176,00:05:25.176,m,we are not putting doggy in there,0,,0,,1,doggy,,,,,1,we,,,,,,,0,1,motherandchild,,,,,,,1,0,,,,,0,1,,
327964,00:05:27.964,m,let's brush your teeth,0,,0,,1,teeth,,,,,1,your,,,,,,,1,0,childsteeth,,,,,,,1,1,,,,,1,2,,
332656,00:05:32.656,m,good job,0,,0,,1,job,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
333608,00:05:33.608,m,let me see grab,0,,0,,0,,,,,,1,me,,,,,,,0,1,mother,,,,,,,0,0,,,,,1,1,,
339966,00:05:39.966,m,great job,0,,0,,1,job,,,,,0,,,,,,,,0,0,,,,,,,,0,0,,,,,1,0,,
342108,00:05:42.108,m,can we braid your hair back,0,,0,,1,hair,,,,,2,we,your,,,,,,1,1,motherandchild,childshair,,,,,,1,1,,,,,1,2,,
