Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4
1709860,00:28:29.860,m,come on,0,,,,,0,,,,
1712512,00:28:32.512,m,would you want some xxx?,0,,,,,1,you,,,
1716320,00:28:36.320,m,hmm?,0,,,,,0,,,,
1717544,00:28:37.544,m,yeah?,0,,,,,0,,,,
1730702,00:28:50.702,m,don't bite the straw though okay?,1,straw,,,,0,,,,
1732232,00:28:52.232,m,because xxx,0,,,,,0,,,,
1733252,00:28:53.252,m,this part is going to  come out,1,part,,,,1,this,,,
1734136,00:28:54.136,m,look,0,,,,,0,,,,
1734544,00:28:54.544,m,see?,0,,,,,0,,,,
1738590,00:28:58.590,m,yeah,0,,,,,0,,,,
1739712,00:28:59.712,m,see if you do that,0,,,,,2,you,that,,
1765892,00:29:25.892,m,look at this feet,1,feet,,,,1,this,,,
1768068,00:29:28.68,m,look at this feet,1,feet,,,,1,this,,,
1769292,00:29:29.292,m,xxx,0,,,,,0,,,,
1769868,00:29:29.868,m,xxx,0,,,,,0,,,,
1771332,00:29:31.332,m,[laughing],0,,,,,0,,,,
1774324,00:29:34.324,m,this feet,1,feet,,,,1,this,,,
1777996,00:29:37.996,m,yummy,0,,,,,0,,,,
1779900,00:29:39.900,m,xxx,0,,,,,0,,,,
1785408,00:29:45.408,m,good job on that smoothie,1,smoothie,,,,1,that,,,
1809990,00:30:09.990,m,are you biting?,0,,,,,1,you,,,
