Timestamp (ms),Timestamp,Speaker,Transcript,Noun (1/0),Noun label 1,Noun label 2 ,Noun label 3,Noun label 4,Pronoun (1/0),Pronoun label 1,Pronoun label 2,Pronoun label 3,Pronoun label 4,Nouns_Spacy,Pronoun_Spacy,,
488815,00:08:08.815,m,do you want to read a book?,1,book,,,,1,you,,,,1,2,,
490280,00:08:10.280,m,or you want to do baby?,1,baby,,,,1,you,,,,0,0,,
491719,,c,no Mummy,,,,,,,,,,,,,,
492980,00:08:12.980,m,here here,0,,,,,0,,,,,1,0,,
493445,00:08:13.445,m,here I know you want your bottle,1,bottle,,,,3,i,you,your,,1,0,,
495622,00:08:15.622,m,hold on,0,,,,,0,,,,,0,0,,
497330,00:08:17.330,m,nope you want book,1,book,,,,1,you,,,,0,0,,
499639,00:08:19.639,m,rabbit ears?,1,rabbitearsbook,,,,0,,,,,1,0,,
500922,00:08:20.922,m,okay,0,,,,,0,,,,,1,0,,
502010,,c,c,,,,,,,,,,,,,,
504152,00:08:24.152,m,alright,0,,,,,0,,,,,0,1,,
505544,00:08:25.544,m,come here bunny,1,bunny,,,,0,,,,,0,0,,
507416,,c,sit,,,,,,,,,,,,,,
508559,00:08:28.559,m,sit,0,,,,,0,,,,,0,0,,
527340,,c,fork,,,,,,,,,,,,,,
533630,,c,c,,,,,,,,,,,,,,
534684,,c,b,,,,,,,,,,,,,,
542810,,c,c,,,,,,,,,,,,,,
553146,,c,b,,,,,,,,,,,,,,
561748,,c,change,,,,,,,,,,,,,,
561786,00:09:21.786,m,where you going?,0,,,,,1,you,,,,0,1,,
564453,,c,b,,,,,,,,,,,,,,
564570,00:09:24.570,m,Dylie we are already reading one,2,dylie,one,,,1,we,,,,0,0,,
568462,00:09:28.462,m,which one do you want?,1,one,,,,1,you,,,,0,0,,
571982,00:09:31.982,m,oh Llama Llama?,1,llamallamabook,,,,0,,,,,0,1,,
573109,00:09:33.109,m,but it's not bedtime,1,bedtime,,,,1,it,,,,0,1,,
575484,00:09:35.484,m,we read Llama Llama at bedtime,2,llamallamabook,bedtime,,,1,we,,,,0,1,,
579151,00:09:39.151,m,huh?,0,,,,,0,,,,,0,0,,
579768,,c,yeah,,,,,,,,,,,,,,
583270,00:09:43.270,m,show me,0,,,,,1,me,,,,0,0,,
586283,00:09:46.283,m,show me missy,1,missy,,,,1,me,,,,0,0,,
588939,00:09:48.939,m,show me,0,,,,,1,me,,,,0,2,,
590002,,c,c,,,,,,,,,,,,,,
590747,00:09:50.747,m,which one?,1,one,,,,0,,,,,0,1,,
592021,00:09:52.21,m,which one?,1,one,,,,0,,,,,0,0,,
593751,,c,no,,,,,,,,,,,,,,
594601,00:09:54.601,m,[laugh],0,,,,,0,,,,,0,0,,
595089,00:09:55.89,m,no?,0,,,,,0,,,,,0,0,,
596093,00:09:56.93,m,it's over here?,0,,,,,1,it,,,,0,1,,
596258,,c,c,,,,,,,,,,,,,,
598638,00:09:58.638,m,Dr. Seuss?,1,drsuessbook,,,,0,,,,,2,0,,
600304,00:10:00.304,m,Hand Hand Foot?,1,handhandfootbook,,,,0,,,,,1,0,,
602514,00:10:02.514,m,oh this one,1,one,,,,1,this,,,,1,1,,
603432,00:10:03.432,m,in the middle?,1,middle,,,,0,,,,,1,1,,
604486,00:10:04.486,m,this one?,1,one,,,,1,this,,,,0,0,,
606730,00:10:06.730,m,yes?,0,,,,,0,,,,,0,1,,
608974,,c,no,,,,,,,,,,,,,,
